[13:05:32 06/23/16] INFO  - LOG INITIALISED
[13:05:40 06/23/16] INFO  - RetrieveServer ## id=5520915af03f49df#pi=1#pn=10#word=北京#
[13:05:40 06/23/16] INFO  - status 1
[13:05:40 06/23/16] INFO  -  id:68 path:116.378_39.864 name:北京南站
[13:05:40 06/23/16] INFO  -  id:69 path:116.320_39.894 name:北京西站
[13:05:40 06/23/16] INFO  -  id:70 path:116.427_39.902 name:北京站
[13:05:40 06/23/16] INFO  -  id:82 path:116.378_39.864 name:北京南站
[13:05:40 06/23/16] INFO  -  id:83 path:116.320_39.894 name:北京西站
[13:05:40 06/23/16] INFO  -  id:84 path:116.427_39.902 name:北京站
[13:05:54 06/23/16] INFO  - RetrieveServer ## id=38dbe387a6ec4aea#pi=1#pn=10#word=北京#
[13:05:54 06/23/16] INFO  - status 1
[13:05:54 06/23/16] INFO  -  id:68 path:116.378_39.864 name:北京南站
[13:05:54 06/23/16] INFO  -  id:69 path:116.320_39.894 name:北京西站
[13:05:54 06/23/16] INFO  -  id:70 path:116.427_39.902 name:北京站
[13:05:54 06/23/16] INFO  -  id:82 path:116.378_39.864 name:北京南站
[13:05:54 06/23/16] INFO  -  id:83 path:116.320_39.894 name:北京西站
[13:05:54 06/23/16] INFO  -  id:84 path:116.427_39.902 name:北京站
[13:07:19 06/23/16] INFO  - RetrieveServer ## id=ed2c72af42b14647#pi=1#pn=10#word=北京南站#
[13:07:19 06/23/16] INFO  - status 1
[13:07:19 06/23/16] INFO  -  id:130 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_1.JPG
[13:07:19 06/23/16] INFO  -  id:131 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_2.png
[13:07:19 06/23/16] INFO  -  id:132 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_3.JPG
[13:07:19 06/23/16] INFO  -  id:133 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_4.JPG
[13:07:19 06/23/16] INFO  -  id:134 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_5.JPG
[13:07:19 06/23/16] INFO  -  id:135 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_6.JPG
[13:07:19 06/23/16] INFO  -  id:136 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_7.JPG
[13:07:19 06/23/16] INFO  -  id:463 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_1.jpg
[13:07:19 06/23/16] INFO  -  id:464 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_10.jpg
[13:07:19 06/23/16] INFO  -  id:465 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_11.jpg
[13:07:19 06/23/16] INFO  -  id:466 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_12.jpg
[13:07:19 06/23/16] INFO  -  id:467 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_13.jpg
[13:07:19 06/23/16] INFO  -  id:468 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_14.jpg
[13:07:19 06/23/16] INFO  -  id:469 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_15.jpg
[13:07:19 06/23/16] INFO  -  id:470 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_16.jpg
[13:07:19 06/23/16] INFO  -  id:471 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_17.jpg
[13:07:19 06/23/16] INFO  -  id:472 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_18.jpg
[13:07:33 06/23/16] INFO  - RetrieveServer ## id=6db398ca36ee4bf2#pi=1#pn=10#word=北京站#
[13:07:33 06/23/16] INFO  - status 1
[13:07:33 06/23/16] INFO  -  id:144 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_1.JPG
[13:07:33 06/23/16] INFO  -  id:145 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_2.JPG
[13:07:33 06/23/16] INFO  -  id:146 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_3.JPG
[13:07:33 06/23/16] INFO  -  id:147 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_4.JPG
[13:07:33 06/23/16] INFO  -  id:148 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_5.JPG
[13:07:33 06/23/16] INFO  -  id:149 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/14/ name:14_6.JPG
[13:07:33 06/23/16] INFO  -  id:546 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_1.jpg
[13:07:33 06/23/16] INFO  -  id:547 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_10.jpg
[13:07:33 06/23/16] INFO  -  id:548 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_11.jpg
[13:07:33 06/23/16] INFO  -  id:549 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_12.jpg
[13:07:33 06/23/16] INFO  -  id:550 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_13.jpg
[13:07:33 06/23/16] INFO  -  id:551 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_14.jpg
[13:07:33 06/23/16] INFO  -  id:552 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_15.jpg
[13:07:33 06/23/16] INFO  -  id:553 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_16.jpg
[13:07:33 06/23/16] INFO  -  id:554 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_17.jpg
[13:07:33 06/23/16] INFO  -  id:555 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_18.jpg
[13:11:16 06/23/16] INFO  - RetrieveServer ## id=6e80615852e445c9#pi=1#pn=10#word=北京#
[13:11:16 06/23/16] INFO  - status 1
[13:11:16 06/23/16] INFO  -  id:68 path:116.378_39.864 name:北京南站
[13:11:16 06/23/16] INFO  -  id:69 path:116.320_39.894 name:北京西站
[13:11:16 06/23/16] INFO  -  id:70 path:116.427_39.902 name:北京站
[13:11:16 06/23/16] INFO  -  id:82 path:116.378_39.864 name:北京南站
[13:11:16 06/23/16] INFO  -  id:83 path:116.320_39.894 name:北京西站
[13:11:16 06/23/16] INFO  -  id:84 path:116.427_39.902 name:北京站
[13:11:16 06/23/16] INFO  - RetrieveServer ## id=7150a760acff469d#pi=1#pn=10#word=北京南站#
[13:11:16 06/23/16] INFO  - status 1
[13:11:16 06/23/16] INFO  -  id:130 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_1.JPG
[13:11:16 06/23/16] INFO  -  id:131 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_2.png
[13:11:16 06/23/16] INFO  -  id:132 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_3.JPG
[13:11:16 06/23/16] INFO  -  id:133 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_4.JPG
[13:11:16 06/23/16] INFO  -  id:134 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_5.JPG
[13:11:16 06/23/16] INFO  -  id:135 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_6.JPG
[13:11:16 06/23/16] INFO  -  id:136 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_7.JPG
[13:11:16 06/23/16] INFO  -  id:463 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_1.jpg
[13:11:16 06/23/16] INFO  -  id:464 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_10.jpg
[13:11:16 06/23/16] INFO  -  id:465 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_11.jpg
[13:11:16 06/23/16] INFO  -  id:466 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_12.jpg
[13:11:16 06/23/16] INFO  -  id:467 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_13.jpg
[13:11:16 06/23/16] INFO  -  id:468 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_14.jpg
[13:11:16 06/23/16] INFO  -  id:469 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_15.jpg
[13:11:16 06/23/16] INFO  -  id:470 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_16.jpg
[13:11:16 06/23/16] INFO  -  id:471 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_17.jpg
[13:11:16 06/23/16] INFO  -  id:472 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_18.jpg
[13:15:49 06/23/16] INFO  - RetrieveServer ## id=997688cb835c427e#pi=1#pn=10#word=北京西站#
[13:15:49 06/23/16] INFO  - status 1
[13:15:49 06/23/16] INFO  -  id:137 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_1.JPG
[13:15:49 06/23/16] INFO  -  id:138 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_2.JPG
[13:15:49 06/23/16] INFO  -  id:139 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_3.JPG
[13:15:49 06/23/16] INFO  -  id:140 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/13/ name:13_4.JPG
